time	V(N022,Vo_led8)	V(Vcc_led,Vi_led8)	I(D8)
0.000000000000000e+00	3.051758e-05	0.000000e+00	7.768569e-15
1.020500000000002e-06	3.051758e-05	0.000000e+00	4.585030e-15
2.044500000000005e-06	3.051758e-05	0.000000e+00	2.566777e-15
3.068500000000007e-06	3.051758e-05	0.000000e+00	5.054819e-15
4.092500000000010e-06	3.051758e-05	0.000000e+00	-6.944471e-15
5.010000000000000e-06	3.051758e-05	0.000000e+00	-1.554312e-15
5.010037275463461e-06	3.051758e-05	0.000000e+00	-4.246805e-06
5.010111826390384e-06	2.670288e-05	0.000000e+00	-1.645988e-05
5.010209418191313e-06	1.907349e-05	0.000000e+00	-4.113328e-05
5.010330566602291e-06	3.814697e-06	0.000000e+00	-8.501348e-05
5.010465689799745e-06	-2.288818e-05	0.000000e+00	-1.504432e-04
5.010680389438712e-06	-8.010864e-05	-3.814697e-06	-2.821086e-04
5.010981210424154e-06	-1.754761e-04	-1.144409e-05	-5.024006e-04
5.011409499881299e-06	-3.509521e-04	-2.288818e-05	-8.503255e-04
5.011913056946600e-06	-5.989075e-04	-4.959106e-05	-1.254304e-03
5.012760523296587e-06	-1.071930e-03	-1.029968e-04	-1.828173e-03
5.013760523296587e-06	-1.640320e-03	-1.831055e-04	-2.288318e-03
5.014760523296587e-06	-2.189636e-03	-2.746582e-04	-2.530677e-03
5.015200000000000e-06	-2.426147e-03	-3.128052e-04	-2.570755e-03
5.015321046593174e-06	-2.490997e-03	-3.242493e-04	-2.571285e-03
5.015563139779522e-06	2.924728e-02	-1.564026e-04	9.154470e-02
5.015643950329832e-06	2.009277e-01	6.942749e-04	6.009472e-01
5.015688380636006e-06	5.189095e-01	2.758026e-03	1.537796e+00
5.015730965599453e-06	9.582443e-01	7.137299e-03	2.811917e+00
5.015774819404642e-06	1.380096e+00	1.419067e-02	3.998610e+00
5.015828018773013e-06	1.832739e+00	2.581787e-02	5.221601e+00
5.015902096347043e-06	2.374027e+00	4.700470e-02	6.604444e+00
5.016050251495106e-06	3.229652e+00	9.951019e-02	8.614105e+00
5.016200000000000e-06	3.911768e+00	1.596985e-01	1.006791e+01
5.016214974850490e-06	3.958705e+00	1.664162e-01	1.015166e+01
5.016244924551468e-06	4.045361e+00	1.799583e-01	1.029825e+01
5.016304823953425e-06	4.190542e+00	2.074318e-01	1.051424e+01
5.016424622757340e-06	4.421012e+00	2.630310e-01	1.078613e+01
5.016485329922798e-06	4.506970e+00	2.913475e-01	1.084114e+01
5.016527203710631e-06	4.545307e+00	3.108711e-01	1.082137e+01
5.016530248179894e-06	4.546871e+00	3.122864e-01	1.081646e+01
5.016536337118420e-06	4.548582e+00	3.151016e-01	1.080261e+01
5.016548514995474e-06	4.551178e+00	3.207130e-01	1.077276e+01
5.016572870749579e-06	4.554448e+00	3.318481e-01	1.070878e+01
5.016621582257790e-06	4.558230e+00	3.538055e-01	1.057742e+01
5.016691525033969e-06	4.562496e+00	3.845520e-01	1.039671e+01
5.016831410586325e-06	4.572405e+00	4.437485e-01	1.007009e+01
5.017021517859575e-06	4.588431e+00	5.203857e-01	9.678813e+00
5.017217025392071e-06	4.607152e+00	5.947685e-01	9.329227e+00
5.017439067902359e-06	4.633549e+00	6.745644e-01	8.990917e+00
5.017602722934182e-06	4.659245e+00	7.304535e-01	8.784713e+00
5.017769777694400e-06	4.689283e+00	7.850151e-01	8.604894e+00
5.017921657422281e-06	4.715886e+00	8.325233e-01	8.454008e+00
5.018169696969865e-06	4.755022e+00	9.063530e-01	8.218746e+00
5.018450719681169e-06	4.787633e+00	9.853287e-01	7.943700e+00
5.018719297134549e-06	4.800062e+00	1.055477e+00	7.651507e+00
5.019026480860202e-06	4.797687e+00	1.129635e+00	7.295341e+00
5.019238388095627e-06	4.792546e+00	1.176586e+00	7.056996e+00
5.019541184799121e-06	4.784839e+00	1.236488e+00	6.745523e+00
5.020146778206108e-06	4.770518e+00	1.339493e+00	6.216931e+00
5.020978386381748e-06	4.753237e+00	1.455849e+00	5.712502e+00
5.021978386381748e-06	4.735290e+00	1.569870e+00	5.417679e+00
5.022978386381749e-06	4.719599e+00	1.666714e+00	5.321735e+00
5.023978386381748e-06	4.705777e+00	1.752228e+00	5.282381e+00
5.024978386381748e-06	4.693592e+00	1.828762e+00	5.248249e+00
5.025978386381748e-06	4.682857e+00	1.897259e+00	5.217789e+00
5.026978386381748e-06	4.673399e+00	1.958542e+00	5.190339e+00
5.027978386381749e-06	4.665063e+00	2.013374e+00	5.166277e+00
5.028978386381748e-06	4.657708e+00	2.062454e+00	5.145031e+00
5.029978386381749e-06	4.651215e+00	2.106400e+00	5.126276e+00
5.030978386381748e-06	4.645477e+00	2.145752e+00	5.109705e+00
5.031978386381748e-06	4.640403e+00	2.181007e+00	5.095052e+00
5.032978386381749e-06	4.635911e+00	2.212597e+00	5.082084e+00
5.033978386381748e-06	4.631932e+00	2.240906e+00	5.070597e+00
5.034978386381749e-06	4.628405e+00	2.266281e+00	5.060415e+00
5.035978386381748e-06	4.625275e+00	2.289036e+00	5.051382e+00
5.036978386381748e-06	4.622496e+00	2.309441e+00	5.043363e+00
5.037978386381748e-06	4.620028e+00	2.327740e+00	5.036239e+00
5.038978386381748e-06	4.617833e+00	2.344154e+00	5.029906e+00
5.039978386381749e-06	4.615881e+00	2.358883e+00	5.024273e+00
5.040978386381748e-06	4.614143e+00	2.372101e+00	5.019259e+00
5.041978386381748e-06	4.612596e+00	2.383965e+00	5.014794e+00
5.042978386381748e-06	4.611217e+00	2.394611e+00	5.010816e+00
5.043978386381748e-06	4.609988e+00	2.404167e+00	5.007269e+00
5.044978386381749e-06	4.608891e+00	2.412746e+00	5.004106e+00
5.045978386381748e-06	4.607913e+00	2.420448e+00	5.001283e+00
5.046978386381749e-06	4.607039e+00	2.427368e+00	4.998764e+00
5.047978386381748e-06	4.606259e+00	2.433582e+00	4.996514e+00
5.048978386381748e-06	4.605563e+00	2.439163e+00	4.994504e+00
5.049978386381749e-06	4.604940e+00	2.444176e+00	4.992708e+00
5.050978386381748e-06	4.604384e+00	2.448677e+00	4.991102e+00
5.051978386381749e-06	4.603886e+00	2.452721e+00	4.989667e+00
5.052978386381748e-06	4.603441e+00	2.456356e+00	4.988383e+00
5.053978386381748e-06	4.603043e+00	2.459618e+00	4.987234e+00
5.054978386381748e-06	4.602686e+00	2.462555e+00	4.986206e+00
5.055978386381748e-06	4.602367e+00	2.465187e+00	4.985286e+00
5.056978386381749e-06	4.602082e+00	2.467560e+00	4.984462e+00
5.057978386381748e-06	4.601826e+00	2.469688e+00	4.983725e+00
5.058978386381749e-06	4.601597e+00	2.471603e+00	4.983064e+00
5.059978386381748e-06	4.601392e+00	2.473320e+00	4.982472e+00
