time	V(N023,Vo_led4)	V(Vcc_led,Vi_led4)	I(D31)
0.000000000000000e+00	6.484985e-05	0.000000e+00	-4.451180e-15
1.020500000000002e-06	6.484985e-05	0.000000e+00	9.324907e-15
2.044500000000005e-06	6.484985e-05	0.000000e+00	4.157234e-15
3.068500000000007e-06	6.484985e-05	0.000000e+00	6.923475e-15
4.092500000000010e-06	6.484985e-05	0.000000e+00	2.674382e-15
5.010000000000000e-06	6.484985e-05	0.000000e+00	4.440892e-16
5.010019715145013e-06	6.484985e-05	0.000000e+00	-3.380623e-06
5.010059145435038e-06	6.103516e-05	0.000000e+00	-1.271263e-05
5.010138006015088e-06	4.959106e-05	0.000000e+00	-4.114109e-05
5.010227035294069e-06	3.051758e-05	0.000000e+00	-8.793086e-05
5.010336559075816e-06	3.814697e-06	0.000000e+00	-1.665689e-04
5.010481969313194e-06	-4.577637e-05	-3.814697e-06	-3.010479e-04
5.010702518271233e-06	-1.525879e-04	-7.629395e-06	-5.522216e-04
5.011035725063062e-06	-3.585815e-04	-2.288818e-05	-9.924310e-04
5.011518584884819e-06	-7.133484e-04	-4.959106e-05	-1.673615e-03
5.012049753897344e-06	-1.178741e-03	-9.918213e-05	-2.376915e-03
5.013049753897344e-06	-2.143860e-03	-2.212524e-04	-3.444669e-03
5.014049753897344e-06	-3.139496e-03	-3.662109e-04	-4.150417e-03
5.015049753897344e-06	-4.123688e-03	-5.226135e-04	-4.542078e-03
5.015200000000000e-06	-4.272461e-03	-5.455017e-04	-4.569989e-03
5.015500492205312e-06	-4.550934e-03	-5.912781e-04	-4.592275e-03
5.015599015589376e-06	4.501724e-02	-4.348755e-04	1.436150e-01
5.015645193776747e-06	2.335663e-01	1.258850e-04	7.075136e-01
5.015664564659407e-06	4.936333e-01	1.029968e-03	1.483415e+00
5.015683924337226e-06	9.016418e-01	2.952576e-03	2.693701e+00
5.015702526369323e-06	1.307873e+00	5.897522e-03	3.885131e+00
5.015727616324634e-06	1.815426e+00	1.174927e-02	5.346054e+00
5.015777796235256e-06	2.724026e+00	2.899933e-02	7.880197e+00
5.015878156056498e-06	4.300821e+00	7.736969e-02	1.209286e+01
5.015988121264548e-06	5.652912e+00	1.487656e-01	1.550384e+01
5.016200000000000e-06	7.650498e+00	3.127022e-01	2.022516e+01
5.016221187873545e-06	7.777575e+00	3.318596e-01	2.048542e+01
5.016263563620635e-06	8.005524e+00	3.706703e-01	2.093466e+01
5.016348315114816e-06	8.369661e+00	4.498215e-01	2.157938e+01
5.016484032782208e-06	8.798617e+00	5.784721e-01	2.218668e+01
5.016553133253584e-06	8.950474e+00	6.443977e-01	2.231231e+01
5.016555313238289e-06	8.953205e+00	6.464767e-01	2.231046e+01
5.016559673207695e-06	8.956171e+00	6.506271e-01	2.229952e+01
5.016568393146509e-06	8.960506e+00	6.589165e-01	2.227298e+01
5.016583852145430e-06	8.965473e+00	6.735687e-01	2.221839e+01
5.016599330355697e-06	8.968029e+00	6.881638e-01	2.215749e+01
5.016630286776233e-06	8.969518e+00	7.170944e-01	2.202825e+01
5.016692199617305e-06	8.969818e+00	7.739639e-01	2.177356e+01
5.016816025299447e-06	8.971936e+00	8.845177e-01	2.130381e+01
5.016997410437395e-06	8.980668e+00	1.040318e+00	2.069274e+01
5.017194168062481e-06	8.994155e+00	1.201759e+00	2.010674e+01
5.017385850668373e-06	9.012343e+00	1.352165e+00	1.960329e+01
5.017516393995950e-06	9.034110e+00	1.450603e+00	1.931714e+01
5.017662729993599e-06	9.069007e+00	1.557468e+00	1.905515e+01
5.017775908439059e-06	9.098051e+00	1.637962e+00	1.888575e+01
5.017920934447408e-06	9.133380e+00	1.738174e+00	1.874492e+01
5.018210986464110e-06	9.193455e+00	1.933071e+00	1.866322e+01
5.018553586794556e-06	9.232546e+00	2.157070e+00	1.868291e+01
5.018893988149402e-06	9.223288e+00	2.372559e+00	1.864976e+01
5.019267991856710e-06	9.177312e+00	2.600483e+00	1.851977e+01
5.019596980412797e-06	9.129755e+00	2.792362e+00	1.837930e+01
5.019972253777386e-06	9.076619e+00	2.998852e+00	1.821981e+01
5.020722800506564e-06	8.976283e+00	3.381321e+00	1.792031e+01
5.021673410258091e-06	8.860297e+00	3.820305e+00	1.757394e+01
5.022673410258090e-06	8.751794e+00	4.229874e+00	1.725002e+01
5.023673410258091e-06	8.656502e+00	4.589886e+00	1.696561e+01
5.024673410258090e-06	8.573076e+00	4.905773e+00	1.671667e+01
5.025673410258091e-06	8.500081e+00	5.182976e+00	1.649890e+01
5.026673410258090e-06	8.436219e+00	5.426254e+00	1.630842e+01
5.027673410258091e-06	8.380348e+00	5.639790e+00	1.614179e+01
5.028673410258091e-06	8.331461e+00	5.827240e+00	1.599602e+01
5.029673410258090e-06	8.288680e+00	5.991810e+00	1.586847e+01
5.030673410258091e-06	8.251236e+00	6.136314e+00	1.575684e+01
5.031673410258090e-06	8.218457e+00	6.263210e+00	1.565913e+01
5.032673410258091e-06	8.189755e+00	6.374657e+00	1.557359e+01
5.033673410258091e-06	8.164620e+00	6.472542e+00	1.549868e+01
5.034673410258090e-06	8.142604e+00	6.558533e+00	1.543307e+01
5.035673410258091e-06	8.123317e+00	6.634079e+00	1.537559e+01
5.036673410258090e-06	8.106417e+00	6.700451e+00	1.532524e+01
5.037673410258091e-06	8.091607e+00	6.758774e+00	1.528111e+01
5.038673410258091e-06	8.078625e+00	6.810028e+00	1.524243e+01
5.039673410258090e-06	8.067247e+00	6.855068e+00	1.520853e+01
5.040673410258091e-06	8.057269e+00	6.894661e+00	1.517880e+01
5.041673410258090e-06	8.048521e+00	6.929459e+00	1.515274e+01
5.042673410258091e-06	8.040847e+00	6.960052e+00	1.512988e+01
5.043673410258091e-06	8.034118e+00	6.986950e+00	1.510983e+01
5.044673410258091e-06	8.028214e+00	7.010597e+00	1.509225e+01
5.045673410258091e-06	8.023035e+00	7.031387e+00	1.507682e+01
5.046673410258090e-06	8.018491e+00	7.049675e+00	1.506328e+01
5.047673410258091e-06	8.014503e+00	7.065758e+00	1.505140e+01
5.048673410258090e-06	8.011003e+00	7.079899e+00	1.504098e+01
5.049673410258091e-06	8.007932e+00	7.092335e+00	1.503183e+01
5.050673410258091e-06	8.005236e+00	7.103275e+00	1.502380e+01
5.051673410258090e-06	8.002869e+00	7.112900e+00	1.501675e+01
5.052673410258091e-06	8.000791e+00	7.121368e+00	1.501056e+01
5.053673410258090e-06	7.998967e+00	7.128819e+00	1.500513e+01
5.054673410258091e-06	7.997366e+00	7.135372e+00	1.500036e+01
5.055673410258091e-06	7.995960e+00	7.141140e+00	1.499617e+01
5.056673410258091e-06	7.994725e+00	7.146217e+00	1.499249e+01
5.057673410258091e-06	7.993640e+00	7.150684e+00	1.498926e+01
5.058673410258090e-06	7.992688e+00	7.154613e+00	1.498643e+01
5.059673410258091e-06	7.991851e+00	7.158073e+00	1.498393e+01
5.060673410258091e-06	7.991117e+00	7.161121e+00	1.498175e+01
5.061673410258091e-06	7.990472e+00	7.163803e+00	1.497982e+01
5.062673410258091e-06	7.989905e+00	7.166164e+00	1.497814e+01
5.063673410258090e-06	7.989407e+00	7.168243e+00	1.497665e+01
5.064673410258091e-06	7.988970e+00	7.170071e+00	1.497535e+01
5.065673410258090e-06	7.988586e+00	7.171684e+00	1.497421e+01
5.066673410258091e-06	7.988248e+00	7.173103e+00	1.497320e+01
5.067673410258091e-06	7.987952e+00	7.174351e+00	1.497232e+01
5.068673410258091e-06	7.987692e+00	7.175453e+00	1.497154e+01
5.069673410258091e-06	7.987462e+00	7.176422e+00	1.497086e+01
5.070673410258090e-06	7.987262e+00	7.177277e+00	1.497026e+01
5.071673410258091e-06	7.987085e+00	7.178028e+00	1.496974e+01
5.072673410258091e-06	7.986931e+00	7.178692e+00	1.496928e+01
5.073673410258091e-06	7.986794e+00	7.179276e+00	1.496887e+01
5.074673410258091e-06	7.986674e+00	7.179790e+00	1.496851e+01
5.075673410258090e-06	7.986569e+00	7.180244e+00	1.496820e+01
5.076673410258091e-06	7.986477e+00	7.180645e+00	1.496793e+01
