time	V(N021,Vo_led7)	V(Vcc_led,Vi_led7)	I(D28)
0.000000000000000e+00	3.814697e-05	0.000000e+00	5.385508e-15
1.020500000000002e-06	3.814697e-05	0.000000e+00	4.729379e-15
2.044500000000005e-06	3.814697e-05	0.000000e+00	4.973459e-15
3.068500000000007e-06	3.814697e-05	0.000000e+00	5.960277e-15
4.092500000000010e-06	3.814697e-05	0.000000e+00	1.075264e-14
5.010000000000000e-06	3.814697e-05	0.000000e+00	-5.773160e-15
5.010033159165411e-06	3.814697e-05	0.000000e+00	-4.064515e-06
5.010099477496234e-06	3.051758e-05	0.000000e+00	-1.574690e-05
5.010195570674537e-06	2.288818e-05	0.000000e+00	-4.185192e-05
5.010308640924323e-06	3.814697e-06	0.000000e+00	-8.599745e-05
5.010437410353211e-06	-1.907349e-05	0.000000e+00	-1.535528e-04
5.010637644906661e-06	-7.247925e-05	-3.814697e-06	-2.871274e-04
5.010923408372860e-06	-1.716614e-04	-7.629395e-06	-5.163553e-04
5.011321235345115e-06	-3.547668e-04	-2.288818e-05	-8.739707e-04
5.011863606896240e-06	-6.446838e-04	-4.959106e-05	-1.365682e-03
5.012597359652000e-06	-1.091003e-03	-9.918213e-05	-1.941547e-03
5.013597359651999e-06	-1.731873e-03	-1.792908e-04	-2.498870e-03
5.014597359652000e-06	-2.361298e-03	-2.670288e-04	-2.812143e-03
5.015200000000000e-06	-2.723694e-03	-3.204346e-04	-2.884506e-03
5.015586862009945e-06	4.009781e-01	3.688812e-03	1.168336e+00
5.015734012836895e-06	1.206127e+00	1.660156e-02	3.441921e+00
5.015876500552645e-06	2.455853e+00	4.900742e-02	6.828538e+00
5.016007674433328e-06	3.470365e+00	9.422684e-02	9.376701e+00
5.016065661633529e-06	3.839158e+00	1.182213e-01	1.023375e+01
5.016084025599599e-06	3.939941e+00	1.264839e-01	1.045522e+01
5.016120753531741e-06	4.121566e+00	1.435204e-01	1.083918e+01
5.016126544135718e-06	4.148735e+00	1.462479e-01	1.089552e+01
5.016138125343673e-06	4.200291e+00	1.517792e-01	1.100029e+01
5.016161287759584e-06	4.298321e+00	1.629868e-01	1.119557e+01
5.016200000000000e-06	4.454450e+00	1.819305e-01	1.150037e+01
5.016203871224042e-06	4.468729e+00	1.838570e-01	1.152715e+01
5.016211613672125e-06	4.496840e+00	1.877213e-01	1.157943e+01
5.016227098568292e-06	4.550624e+00	1.954880e-01	1.167714e+01
5.016258068360625e-06	4.648622e+00	2.111778e-01	1.184591e+01
5.016320007945290e-06	4.811667e+00	2.429237e-01	1.209357e+01
5.016443887114623e-06	5.068294e+00	3.069153e-01	1.240261e+01
