time	V(N025,Vo_led6)	V(Vcc_led,Vi_led6)	I(D12)
5.048121767870190e-06	6.286233e+00	1.487965e+00	9.919477e+00
5.049121767870190e-06	6.286232e+00	1.487953e+00	9.919476e+00
5.050121767870190e-06	6.286235e+00	1.487946e+00	9.919485e+00
5.051121767870190e-06	6.286242e+00	1.487938e+00	9.919504e+00
5.052121767870190e-06	6.286250e+00	1.487938e+00	9.919529e+00
5.053121767870190e-06	6.286260e+00	1.487934e+00	9.919559e+00
5.054121767870190e-06	6.286271e+00	1.487934e+00	9.919591e+00
5.055121767870190e-06	6.286283e+00	1.487938e+00	9.919625e+00
5.056121767870190e-06	6.286294e+00	1.487938e+00	9.919660e+00
5.057121767870190e-06	6.286306e+00	1.487942e+00	9.919695e+00
5.058121767870190e-06	6.286318e+00	1.487946e+00	9.919729e+00
5.059121767870190e-06	6.286330e+00	1.487949e+00	9.919764e+00
5.060121767870190e-06	6.286341e+00	1.487953e+00	9.919796e+00
5.061121767870190e-06	6.286351e+00	1.487961e+00	9.919827e+00
5.062121767870190e-06	6.286362e+00	1.487965e+00	9.919858e+00
5.063121767870190e-06	6.286371e+00	1.487968e+00	9.919887e+00
5.064121767870190e-06	6.286381e+00	1.487972e+00	9.919914e+00
5.065121767870190e-06	6.286389e+00	1.487976e+00	9.919940e+00
5.066121767870190e-06	6.286397e+00	1.487980e+00	9.919964e+00
5.067121767870190e-06	6.286405e+00	1.487984e+00	9.919987e+00
5.068121767870191e-06	6.286412e+00	1.487988e+00	9.920008e+00
5.069121767870190e-06	6.286419e+00	1.487991e+00	9.920028e+00
5.070121767870190e-06	6.286425e+00	1.487995e+00	9.920046e+00
5.071121767870190e-06	6.286431e+00	1.487999e+00	9.920064e+00
5.072121767870190e-06	6.286437e+00	1.488003e+00	9.920080e+00
5.073121767870190e-06	6.286442e+00	1.488007e+00	9.920094e+00
5.074121767870190e-06	6.286446e+00	1.488007e+00	9.920109e+00
5.075121767870190e-06	6.286451e+00	1.488010e+00	9.920121e+00
5.076121767870190e-06	6.286454e+00	1.488014e+00	9.920133e+00
5.077121767870190e-06	6.286458e+00	1.488014e+00	9.920143e+00
5.078121767870190e-06	6.286462e+00	1.488018e+00	9.920154e+00
5.079121767870190e-06	6.286464e+00	1.488018e+00	9.920163e+00
5.080121767870190e-06	6.286467e+00	1.488022e+00	9.920172e+00
5.081121767870190e-06	6.286470e+00	1.488022e+00	9.920179e+00
5.082121767870190e-06	6.286473e+00	1.488022e+00	9.920187e+00
5.083121767870190e-06	6.286475e+00	1.488026e+00	9.920194e+00
5.084121767870190e-06	6.286477e+00	1.488026e+00	9.920200e+00
5.085121767870191e-06	6.286479e+00	1.488026e+00	9.920206e+00
5.086121767870190e-06	6.286481e+00	1.488029e+00	9.920211e+00
5.087121767870190e-06	6.286483e+00	1.488029e+00	9.920216e+00
5.088121767870190e-06	6.286484e+00	1.488029e+00	9.920220e+00
5.089121767870190e-06	6.286486e+00	1.488029e+00	9.920224e+00
5.090121767870190e-06	6.286487e+00	1.488033e+00	9.920228e+00
5.091121767870190e-06	6.286488e+00	1.488033e+00	9.920232e+00
5.092121767870190e-06	6.286489e+00	1.488033e+00	9.920235e+00
5.093121767870190e-06	6.286490e+00	1.488033e+00	9.920238e+00
5.094121767870190e-06	6.286491e+00	1.488033e+00	9.920240e+00
5.095121767870190e-06	6.286492e+00	1.488033e+00	9.920243e+00
5.096121767870190e-06	6.286492e+00	1.488037e+00	9.920245e+00
5.097121767870191e-06	6.286493e+00	1.488037e+00	9.920248e+00
5.098121767870190e-06	6.286494e+00	1.488037e+00	9.920249e+00
5.099121767870190e-06	6.286494e+00	1.488037e+00	9.920251e+00
5.100121767870190e-06	6.286495e+00	1.488037e+00	9.920253e+00
5.101121767870190e-06	6.286496e+00	1.488037e+00	9.920255e+00
5.102121767870191e-06	6.286496e+00	1.488037e+00	9.920256e+00
5.103121767870190e-06	6.286496e+00	1.488037e+00	9.920258e+00
5.104121767870190e-06	6.286497e+00	1.488037e+00	9.920258e+00
5.105121767870190e-06	6.286497e+00	1.488037e+00	9.920259e+00
5.106121767870190e-06	6.286497e+00	1.488037e+00	9.920259e+00
5.107121767870190e-06	6.286498e+00	1.488037e+00	9.920261e+00
5.108121767870190e-06	6.286498e+00	1.488037e+00	9.920261e+00
5.109121767870191e-06	6.286498e+00	1.488037e+00	9.920262e+00
5.110121767870190e-06	6.286499e+00	1.488041e+00	9.920263e+00
5.111121767870190e-06	6.286499e+00	1.488041e+00	9.920263e+00
5.112121767870190e-06	6.286499e+00	1.488041e+00	9.920265e+00
5.113121767870190e-06	6.286499e+00	1.488041e+00	9.920265e+00
5.114121767870191e-06	6.286500e+00	1.488041e+00	9.920266e+00
5.115121767870190e-06	6.286500e+00	1.488041e+00	9.920266e+00
5.116121767870190e-06	6.286500e+00	1.488041e+00	9.920267e+00
5.117121767870190e-06	6.286500e+00	1.488041e+00	9.920267e+00
5.118121767870190e-06	6.286500e+00	1.488041e+00	9.920267e+00
5.119121767870191e-06	6.286500e+00	1.488041e+00	9.920268e+00
5.120121767870190e-06	6.286500e+00	1.488041e+00	9.920268e+00
5.121121767870190e-06	6.286501e+00	1.488041e+00	9.920268e+00
5.122121767870190e-06	6.286501e+00	1.488041e+00	9.920268e+00
5.123121767870190e-06	6.286501e+00	1.488041e+00	9.920269e+00
5.124121767870190e-06	6.286501e+00	1.488041e+00	9.920269e+00
5.125121767870190e-06	6.286501e+00	1.488041e+00	9.920269e+00
5.126121767870191e-06	6.286501e+00	1.488041e+00	9.920269e+00
5.127121767870190e-06	6.286501e+00	1.488041e+00	9.920269e+00
5.128121767870190e-06	6.286501e+00	1.488041e+00	9.920269e+00
5.129121767870190e-06	6.286501e+00	1.488041e+00	9.920269e+00
5.130121767870190e-06	6.286501e+00	1.488041e+00	9.920270e+00
5.131121767870191e-06	6.286501e+00	1.488041e+00	9.920270e+00
5.132121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.133121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.134121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
5.135121767870190e-06	6.286501e+00	1.488041e+00	9.920271e+00
