time	V(N007,N016)	V(Vcc_led,Vi_led4)	I(D3)
0.000000000000000e+00	6.103516e-05	0.000000e+00	7.833913e-15
1.020500000000002e-06	6.103516e-05	0.000000e+00	5.599981e-15
2.044500000000005e-06	6.103516e-05	0.000000e+00	-1.652724e-15
3.068500000000007e-06	6.103516e-05	0.000000e+00	8.927466e-15
4.092500000000010e-06	6.103516e-05	0.000000e+00	-6.500714e-16
5.010000000000000e-06	6.103516e-05	0.000000e+00	-7.660539e-15
5.010018890682248e-06	6.484985e-05	0.000000e+00	-3.346401e-06
5.010056672046742e-06	6.103516e-05	0.000000e+00	-1.249013e-05
5.010132234775732e-06	4.959106e-05	0.000000e+00	-4.027405e-05
5.010220669541095e-06	3.433228e-05	0.000000e+00	-8.764485e-05
5.010327542932133e-06	7.629395e-06	0.000000e+00	-1.658471e-04
5.010469924141359e-06	-4.577637e-05	-3.814697e-06	-3.000401e-04
5.010684551333451e-06	-1.411438e-04	-7.629395e-06	-5.488596e-04
5.011009966042626e-06	-3.318787e-04	-2.288818e-05	-9.862053e-04
5.011482279640806e-06	-6.790161e-04	-4.959106e-05	-1.663424e-03
5.012028226846753e-06	-1.152039e-03	-9.918213e-05	-2.396995e-03
5.013028226846752e-06	-2.105713e-03	-2.250671e-04	-3.476217e-03
5.014028226846752e-06	-3.093719e-03	-3.738403e-04	-4.183986e-03
5.015028226846753e-06	-4.085541e-03	-5.378723e-04	-4.570195e-03
5.015200000000000e-06	-4.249573e-03	-5.645752e-04	-4.600047e-03
5.015543546306495e-06	-4.570007e-03	-6.179810e-04	-4.620163e-03
5.015627701198880e-06	1.424675e-01	-2.250671e-04	4.574461e-01
5.015662888772100e-06	4.911690e-01	1.014709e-03	1.549324e+00
5.015686213113729e-06	9.450226e-01	3.334045e-03	2.960232e+00
5.015708489543904e-06	1.429501e+00	7.247925e-03	4.445900e+00
5.015735913981888e-06	1.973381e+00	1.446915e-02	6.076309e+00
5.015790762857855e-06	2.951159e+00	3.493881e-02	8.915570e+00
5.015871266903147e-06	4.187201e+00	7.689667e-02	1.234765e+01
5.016014673114556e-06	5.909973e+00	1.762276e-01	1.685029e+01
5.016200000000000e-06	7.633631e+00	3.273697e-01	2.108041e+01
5.016218532688544e-06	7.745678e+00	3.448792e-01	2.131970e+01
5.016255598065633e-06	7.949456e+00	3.803215e-01	2.173969e+01
5.016329728819810e-06	8.278076e+00	4.526558e-01	2.235101e+01
5.016477990328165e-06	8.766177e+00	5.997467e-01	2.308842e+01
5.016550388729668e-06	8.935972e+00	6.721611e-01	2.325118e+01
5.016552122696917e-06	8.938396e+00	6.739006e-01	2.325024e+01
5.016555590631412e-06	8.941241e+00	6.773720e-01	2.324226e+01
5.016562526500404e-06	8.945561e+00	6.843033e-01	2.322202e+01
5.016573099963364e-06	8.950233e+00	6.948471e-01	2.318544e+01
5.016583949474281e-06	8.953173e+00	7.056351e-01	2.314259e+01
5.016605648496114e-06	8.955723e+00	7.270813e-01	2.304825e+01
5.016649046539779e-06	8.956587e+00	7.694969e-01	2.285257e+01
5.016726911996841e-06	8.956095e+00	8.439941e-01	2.251478e+01
5.016882642910964e-06	8.958801e+00	9.882813e-01	2.190321e+01
5.017072332610065e-06	8.967640e+00	1.157051e+00	2.124445e+01
5.017265919974810e-06	8.982017e+00	1.321239e+00	2.066044e+01
5.017493194643742e-06	9.010808e+00	1.505257e+00	2.009341e+01
5.017675444496021e-06	9.047412e+00	1.647102e+00	1.976134e+01
5.017830317811344e-06	9.084328e+00	1.763920e+00	1.959921e+01
5.017996494166845e-06	9.121346e+00	1.886444e+00	1.955413e+01
5.018268366255658e-06	9.170473e+00	2.083401e+00	1.961935e+01
5.018576675253349e-06	9.196634e+00	2.302670e+00	1.968373e+01
5.018916560947895e-06	9.178861e+00	2.538063e+00	1.962791e+01
5.019277501672465e-06	9.128388e+00	2.779419e+00	1.946937e+01
5.019625466891960e-06	9.073026e+00	3.002743e+00	1.929604e+01
5.020001562032919e-06	9.014452e+00	3.231464e+00	1.911271e+01
5.020753752314836e-06	8.903359e+00	3.657829e+00	1.876509e+01
5.021671783351931e-06	8.778686e+00	4.133549e+00	1.837510e+01
5.022671783351930e-06	8.656713e+00	4.598076e+00	1.799368e+01
5.023671783351931e-06	8.548388e+00	5.011181e+00	1.765504e+01
5.024671783351931e-06	8.452553e+00	5.377571e+00	1.735554e+01
5.025671783351931e-06	8.367805e+00	5.702572e+00	1.709076e+01
5.026671783351931e-06	8.292864e+00	5.990891e+00	1.685668e+01
5.027671783351930e-06	8.226589e+00	6.246704e+00	1.664971e+01
5.028671783351931e-06	8.167967e+00	6.473701e+00	1.646668e+01
5.029671783351930e-06	8.116105e+00	6.675159e+00	1.630479e+01
5.030671783351931e-06	8.070211e+00	6.853970e+00	1.616155e+01
5.031671783351931e-06	8.029591e+00	7.012695e+00	1.603479e+01
5.032671783351931e-06	7.993629e+00	7.153606e+00	1.592258e+01
5.033671783351931e-06	7.961786e+00	7.278721e+00	1.582323e+01
5.034671783351930e-06	7.933582e+00	7.389816e+00	1.573525e+01
5.035671783351931e-06	7.908598e+00	7.488476e+00	1.565732e+01
5.036671783351931e-06	7.886463e+00	7.576096e+00	1.558828e+01
5.037671783351931e-06	7.866843e+00	7.653919e+00	1.552710e+01
5.038671783351931e-06	7.849456e+00	7.723049e+00	1.547287e+01
5.039671783351930e-06	7.834042e+00	7.784462e+00	1.542481e+01
5.040671783351931e-06	7.820372e+00	7.839020e+00	1.538219e+01
5.041671783351931e-06	7.808250e+00	7.887493e+00	1.534440e+01
5.042671783351931e-06	7.797501e+00	7.930565e+00	1.531088e+01
5.043671783351931e-06	7.787966e+00	7.968838e+00	1.528115e+01
5.044671783351931e-06	7.779506e+00	8.002848e+00	1.525478e+01
5.045671783351931e-06	7.772000e+00	8.033072e+00	1.523138e+01
5.046671783351930e-06	7.765342e+00	8.059933e+00	1.521062e+01
5.047671783351931e-06	7.759431e+00	8.083809e+00	1.519219e+01
