time	V(N008,N012)	V(Vcc_led,Vi_led7)	I(D16)
0.000000000000000e+00	3.433228e-05	0.000000e+00	2.600286e-15
1.020500000000002e-06	3.433228e-05	0.000000e+00	6.170171e-15
2.044500000000005e-06	3.433228e-05	0.000000e+00	4.947155e-15
3.068500000000007e-06	3.433228e-05	0.000000e+00	1.859315e-15
4.092500000000010e-06	3.433228e-05	0.000000e+00	-1.881351e-15
5.010000000000000e-06	3.433228e-05	0.000000e+00	-3.774758e-15
5.010035653355826e-06	3.051758e-05	0.000000e+00	-4.159504e-06
5.010106960067477e-06	2.670288e-05	0.000000e+00	-1.610960e-05
5.010203938121369e-06	1.907349e-05	0.000000e+00	-4.115787e-05
5.010321947209085e-06	3.814697e-06	0.000000e+00	-8.481387e-05
5.010454315782025e-06	-2.288818e-05	0.000000e+00	-1.502736e-04
5.010662764557725e-06	-7.247925e-05	-3.814697e-06	-2.806713e-04
5.010955742085392e-06	-1.678467e-04	-7.629395e-06	-4.994367e-04
5.011373564694756e-06	-3.356934e-04	-2.288818e-05	-8.455317e-04
5.011890379871701e-06	-5.874634e-04	-4.959106e-05	-1.269529e-03
5.012687757039231e-06	-1.018524e-03	-1.029968e-04	-1.822671e-03
5.013687757039231e-06	-1.586914e-03	-1.907349e-04	-2.295490e-03
5.014687757039231e-06	-2.143860e-03	-2.822876e-04	-2.545543e-03
5.015148054874627e-06	-2.395630e-03	-3.280640e-04	-2.587953e-03
5.015542103238364e-06	-2.593994e-03	-3.662109e-04	-2.578447e-03
5.015619740372787e-06	5.001831e-02	-2.098083e-04	1.627602e-01
5.015655622429514e-06	1.867371e-01	2.479553e-04	5.916193e-01
5.015671706271553e-06	3.269806e-01	8.392334e-04	1.029732e+00
5.015687890340919e-06	5.087929e-01	1.934052e-03	1.593215e+00
5.015710671735378e-06	7.563515e-01	4.238129e-03	2.349109e+00
5.015745252749262e-06	1.098816e+00	9.376526e-03	3.367878e+00
5.015814414777029e-06	1.707748e+00	2.410507e-02	5.105777e+00
5.015911925020160e-06	2.440355e+00	5.224609e-02	7.075501e+00
5.016030395898770e-06	3.135513e+00	9.585953e-02	8.784412e+00
5.016200000000000e-06	3.910946e+00	1.673813e-01	1.049946e+01
5.016216960410123e-06	3.963434e+00	1.753960e-01	1.059575e+01
5.016250881230369e-06	4.059616e+00	1.915779e-01	1.076126e+01
5.016318722870860e-06	4.217287e+00	2.244492e-01	1.099287e+01
5.016454406151844e-06	4.455334e+00	2.909622e-01	1.124013e+01
5.016521296728340e-06	4.538532e+00	3.238983e-01	1.126571e+01
5.016523554480875e-06	4.540154e+00	3.250084e-01	1.126313e+01
5.016528069985945e-06	4.542027e+00	3.272247e-01	1.125385e+01
5.016537100996085e-06	4.544930e+00	3.316422e-01	1.123281e+01
5.016553800352679e-06	4.548752e+00	3.397827e-01	1.118959e+01
5.016570340236352e-06	4.551155e+00	3.478012e-01	1.114335e+01
5.016603420003700e-06	4.553894e+00	3.636551e-01	1.104740e+01
5.016668116835754e-06	4.557749e+00	3.940582e-01	1.086480e+01
5.016790112603296e-06	4.565607e+00	4.495811e-01	1.054913e+01
5.016968186647984e-06	4.579561e+00	5.272255e-01	1.014157e+01
5.017164240178990e-06	4.596548e+00	6.085434e-01	9.747258e+00
5.017354833473962e-06	4.615452e+00	6.838455e-01	9.411001e+00
5.017487496765111e-06	4.633415e+00	7.340698e-01	9.213041e+00
5.017626881709779e-06	4.657179e+00	7.850456e-01	9.036598e+00
5.017747049679742e-06	4.678595e+00	8.277359e-01	8.898026e+00
5.017889046157964e-06	4.702991e+00	8.764877e-01	8.744711e+00
5.018145118695571e-06	4.742956e+00	9.607964e-01	8.481367e+00
5.018441637765314e-06	4.777239e+00	1.053577e+00	8.169792e+00
5.018708923869031e-06	4.789398e+00	1.131840e+00	7.860141e+00
5.019033633756301e-06	4.785954e+00	1.220428e+00	7.459908e+00
5.019244883566377e-06	4.780060e+00	1.273834e+00	7.208889e+00
5.019555117875912e-06	4.770933e+00	1.345024e+00	6.880866e+00
5.020142578311100e-06	4.754576e+00	1.464043e+00	6.410183e+00
5.021142578311100e-06	4.728992e+00	1.640038e+00	5.954124e+00
5.022142578311101e-06	4.705769e+00	1.794941e+00	5.770430e+00
5.023142578311100e-06	4.684786e+00	1.934498e+00	5.700129e+00
5.024142578311101e-06	4.665785e+00	2.062496e+00	5.643587e+00
5.025142578311100e-06	4.648584e+00	2.180084e+00	5.591938e+00
5.026142578311100e-06	4.633009e+00	2.288124e+00	5.545284e+00
5.027142578311101e-06	4.618893e+00	2.387409e+00	5.502625e+00
5.028142578311100e-06	4.606083e+00	2.478657e+00	5.463997e+00
5.029142578311101e-06	4.594446e+00	2.562542e+00	5.428906e+00
5.030142578311100e-06	4.583862e+00	2.639679e+00	5.397007e+00
5.031142578311101e-06	4.574228e+00	2.710625e+00	5.367976e+00
5.032142578311101e-06	4.565451e+00	2.775887e+00	5.341528e+00
5.033142578311100e-06	4.557444e+00	2.835930e+00	5.317411e+00
