time	V(N005,N014)	V(Vcc_led,Vi_led5)	I(D7)
0.000000000000000e+00	4.959106e-05	0.000000e+00	1.370659e-14
1.020500000000002e-06	4.959106e-05	0.000000e+00	-5.812080e-16
2.044500000000005e-06	4.959106e-05	0.000000e+00	-2.027342e-15
3.068500000000007e-06	4.959106e-05	0.000000e+00	1.306203e-14
4.092500000000010e-06	4.959106e-05	0.000000e+00	1.304550e-14
5.010000000000000e-06	4.959106e-05	0.000000e+00	4.329870e-15
5.010023327204865e-06	4.959106e-05	0.000000e+00	-3.577882e-06
5.010069981614595e-06	4.577637e-05	0.000000e+00	-1.380764e-05
5.010163290434056e-06	3.814697e-05	0.000000e+00	-4.509496e-05
5.010254600634486e-06	2.288818e-05	0.000000e+00	-8.958334e-05
5.010376200791442e-06	-7.629395e-06	0.000000e+00	-1.699933e-04
5.010536817788527e-06	-5.722046e-05	-3.814697e-06	-3.055738e-04
5.010789212833266e-06	-1.678467e-04	-7.629395e-06	-5.656821e-04
5.011172857512417e-06	-3.738403e-04	-2.288818e-05	-1.015841e-03
5.011741380652292e-06	-7.514954e-04	-5.722046e-05	-1.707546e-03
5.012294270176190e-06	-1.178741e-03	-1.029968e-04	-2.310893e-03
5.013294270176190e-06	-2.002716e-03	-2.059937e-04	-3.137867e-03
5.014294270176190e-06	-2.841949e-03	-3.204346e-04	-3.636559e-03
5.015294270176190e-06	-3.654480e-03	-4.348755e-04	-3.856608e-03
5.015599564328786e-06	6.140366e-01	6.286621e-03	1.869294e+00
5.015755991706289e-06	1.928341e+00	2.873230e-02	5.753130e+00
5.015891287647783e-06	3.566025e+00	7.656860e-02	1.037652e+01
5.016029165236723e-06	4.995075e+00	1.470184e-01	1.412428e+01
5.016036289554613e-06	5.060812e+00	1.512566e-01	1.428992e+01
5.016050538190394e-06	5.185036e+00	1.603699e-01	1.459848e+01
5.016079035461957e-06	5.405287e+00	1.791153e-01	1.512785e+01
5.016127334385124e-06	5.727768e+00	2.120895e-01	1.586960e+01
5.016200000000000e-06	6.160351e+00	2.631836e-01	1.682667e+01
5.016207266561487e-06	6.197575e+00	2.684860e-01	1.690598e+01
5.016221799684463e-06	6.269224e+00	2.791443e-01	1.705448e+01
5.016250865930413e-06	6.400393e+00	3.006897e-01	1.731439e+01
5.016308998422314e-06	6.620432e+00	3.443947e-01	1.771136e+01
5.016425263406115e-06	6.967062e+00	4.327927e-01	1.823816e+01
5.016503054891803e-06	7.134396e+00	4.921646e-01	1.840565e+01
5.016556060458407e-06	7.205173e+00	5.325317e-01	1.839345e+01
5.016559993349104e-06	7.207783e+00	5.355110e-01	1.838463e+01
5.016567859130497e-06	7.210033e+00	5.414314e-01	1.835814e+01
5.016583590693282e-06	7.213034e+00	5.532074e-01	1.830124e+01
5.016615053818855e-06	7.216057e+00	5.765076e-01	1.818117e+01
